% Model:              bisphericalComplexCase.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 25 2026, 15:28
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Point graph
% freq (Hz)               Total acoustic pressure
80                        0.7021467347192444
100                       1.0925953631284786
120                       1.565331618967939
140                       2.1176740895171444
160                       2.7464752416655003
180                       3.4481344465852093
200                       4.21861456450019
220                       5.0534591160951985
240                       5.947812056632302
260                       6.896438723336484
280                       7.893750175941638
300                       8.93382678989835
320                       10.010445160124384
340                       11.117105507524577
360                       12.247060227968044
380                       13.393344930897191
400                       14.548807634169691
420                       15.706144086275268
440                       16.857925318550446
460                       17.996636298335016
480                       19.11470560595349
500                       20.20454241552523
520                       21.258568052288055
540                       22.26925190598013
560                       23.22914750334456
580                       24.13092086680881
600                       24.967394580081535
620                       25.73156898369324
640                       26.41666337005798
660                       27.01614465593032
680                       27.523763327844645
700                       27.93357875058484
720                       28.2399892798686
740                       28.437762598955928
760                       28.522066693504943
780                       28.48849000327122
800                       28.33306535068424
820                       28.052295909660145
840                       27.64318396572655
860                       27.103234286832734
880                       26.43048761046755
900                       25.623529998065703
920                       24.681503831574144
940                       23.604131679114868
960                       22.391710662575225
980                       21.045140932491957
1000                      19.565909878546673
1020                      17.9561049699854
1040                      16.218428356090325
1060                      14.356170003835418
1080                      12.373218816620529
1100                      10.27406362666426
1120                      8.06376396414336
1140                      5.747961013314583
1160                      3.332842753426958
1180                      0.8251436946416747
1200                      -1.7678757130937965
1220                      -4.438476333460856
1240                      -7.178404801710772
1260                      -9.978998511563956
1280                      -12.831144189645292
1300                      -15.7253625754123
1320                      -18.651795036548666
1340                      -21.600274141001492
1360                      -24.560359004485985
1380                      -27.521340469808663
1400                      -30.47232763884361
1420                      -33.40225087097542
1440                      -36.29993164943301
1460                      -39.1541315450809
1480                      -41.95355076026212
1500                      -44.68693874678547
1520                      -47.343100286808884
1540                      -49.91093879269702
1560                      -52.379545963705375
1580                      -54.73818312552217
1600                      -56.9763995035048
1620                      -59.08401149245372
1640                      -61.051201079573126
1660                      -62.868516953614495
1680                      -64.5269531572492
1700                      -66.01795985324928
1720                      -67.33348617271487
1740                      -68.46603512839486
1760                      -69.40870455561361
1780                      -70.15515833385386
1800                      -70.69973279911959
1820                      -71.03743245397239
1840                      -71.16393295959499
1860                      -71.07561270320578
1880                      -70.76961617163668
1900                      -70.24381759956009
1920                      -69.49682286001119
1940                      -68.52804306760025
1960                      -67.33763614977941
1980                      -65.92653920063206
2000                      -64.2964811323987
