% Model:              spherical_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 27 2026, 17:10
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.010486861471442748
100                       0.01635389491149365
120                       0.023493712422501496
140                       0.03188786594394757
160                       0.04151469126168788
180                       0.05234937620424127
200                       0.06436403870171649
220                       0.07752781444195381
240                       0.09180695382589552
260                       0.10716492789257907
280                       0.12356254285381309
300                       0.14095806284939927
320                       0.15930734050600215
340                       0.1785639548564807
360                       0.19867935615177845
380                       0.21960301707442492
400                       0.24128258984137516
420                       0.2636640686645039
440                       0.28669195701952244
460                       0.310309439158464
480                       0.3344585552874234
500                       0.35908037981972957
520                       0.38411520210536104
540                       0.4095027090302186
560                       0.4351821688738488
580                       0.4610926158111898
600                       0.4871730344432611
620                       0.5133625437430215
640                       0.5396005798061487
660                       0.5658270768019736
680                       0.5919826455274829
700                       0.6180087489767034
720                       0.6438478743494842
740                       0.6694437009367122
760                       0.6947412633343598
780                       0.719687109455473
800                       0.7442294528275205
820                       0.768318318682806
840                       0.7919056833707456
860                       0.8149456066439443
880                       0.8373943563939892
900                       0.8592105254383182
920                       0.8803551399860922
940                       0.9007917594384782
960                       0.9204865672075766
980                       0.9394084522676277
1000                      0.9575290811826018
1020                      0.9748229603856109
1040                      0.9912674885174924
1060                      1.0068429986645957
1080                      1.0215327903692402
1100                      1.0353231513200207
1120                      1.0482033686637195
1140                      1.0601657299152993
1160                      1.0712055134777778
1180                      1.0813209688192127
1200                      1.090513286390009
1220                      1.0987865573994113
1240                      1.1061477236063915
1260                      1.112606517315825
1280                      1.1181753918069501
1300                      1.1228694424565828
1320                      1.1267063188548636
1340                      1.1297061282461818
1360                      1.131891330661959
1380                      1.133286626145434
1400                      1.1339188345011588
1420                      1.1338167680331168
1440                      1.1330110977658048
1460                      1.1315342136711566
1480                      1.1294200794516
1500                      1.1267040824548147
1520                      1.1234228793193797
1540                      1.119614237972074
1560                      1.11531687661654
1580                      1.1105703003701421
1600                      1.105414636219899
1620                      1.0998904669799887
1640                      1.0940386649420795
1660                      1.087900225915461
1680                      1.0815161043566315
1700                      1.0749270502875892
1720                      1.0681734486982868
1740                      1.0612951621216904
1760                      1.0543313770595257
1780                      1.0473204549229602
1800                      1.0402997881352423
1820                      1.0333056620227496
1840                      1.0263731230968807
1860                      1.0195358543018094
1880                      1.0128260577726027
1900                      1.006274345614237
1920                      0.9999096391751886
1940                      0.9937590772493952
1960                      0.987847933597515
1980                      0.9821995441331047
2000                      0.976835244071523
