% Model:              curvedcubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 20 2026, 14:53
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.008194782179999133
100                       0.012426884409176575
120                       0.017453428516753678
140                       0.023404023254232513
160                       0.03056887029782823
180                       0.039446898330604455
200                       0.05081010025669607
220                       0.06577236136219931
240                       0.08579287091777178
260                       0.11239797258428845
280                       0.14617170610119076
300                       0.18468295524107403
320                       0.22079033113732013
340                       0.24544836248427798
360                       0.25496543326893756
380                       0.25358193468420515
400                       0.2484791859432368
420                       0.24510145166219796
440                       0.2463702207570818
460                       0.253659076757289
480                       0.26771934716616974
500                       0.28917023317681273
520                       0.3186507046294619
540                       0.3567243022370329
560                       0.40353904764360116
580                       0.4582101807883142
600                       0.5180031095048843
620                       0.5777348594606925
640                       0.6302433557038165
660                       0.6685998393813962
680                       0.6892876108985685
700                       0.6940157611973776
720                       0.688657734025746
740                       0.6804369755581702
760                       0.6755169630402914
780                       0.6779207632997544
800                       0.6894140788706437
820                       0.7097806033827063
840                       0.7372993076225132
860                       0.7694863876251092
880                       0.8040084394601356
900                       0.8393524134593598
920                       0.874859115956584
940                       0.9101697329007135
960                       0.9445201628065201
980                       0.9763322039089449
1000                      1.0033429545533976
1020                      1.0232770728310265
1040                      1.0348195832463034
1060                      1.038429095236769
1080                      1.036522714736203
1100                      1.032874381150504
1120                      1.031492621081699
1140                      1.0354353283525943
1160                      1.0459144484234857
1180                      1.0619014204195079
1200                      1.0804373750241236
1220                      1.097771716807574
1240                      1.110982779681487
1260                      1.1191480964488751
1280                      1.1232768448823767
1300                      1.1251994190731793
1320                      1.1263517368014953
1340                      1.1272071136286739
1360                      1.1274676800134025
1380                      1.126665064943702
1400                      1.1247123465714781
1420                      1.1221206363021274
1440                      1.1198631352678254
1460                      1.119027821657951
1480                      1.1203998341192527
1500                      1.1240775719472746
1520                      1.129239525306739
1540                      1.134201430700054
1560                      1.1368455863320783
1580                      1.1353270109426772
1600                      1.1287475714280104
1620                      1.1174370585348645
1640                      1.1027100705244006
1660                      1.0863114357754056
1680                      1.0699078493735859
1700                      1.0548381454383662
1720                      1.0420906094905225
1740                      1.0323473120867284
1760                      1.0259745439832846
1780                      1.0229553210037716
1800                      1.0228379892028958
1820                      1.024768409578712
1840                      1.027617183606249
1860                      1.0301639174212682
1880                      1.0312856509077262
1900                      1.03011091845266
1920                      1.0261227128492487
1940                      1.019206422591544
1960                      1.009642696409535
1980                      0.9980484737344734
2000                      0.9852758106348735
