% Model:              curvedcubic_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 27 2026, 17:50
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical, 
80                        0.008599186241288382
100                       0.01335742648724165
120                       0.019098697098950197
140                       0.025781758216573483
160                       0.033360748031633886
180                       0.04178641446766777
200                       0.05100739844947048
220                       0.060971527866146895
240                       0.07162708521856198
260                       0.0829240173778269
280                       0.09481506234744781
300                       0.10725677487924029
320                       0.12021043975385039
340                       0.13364286808744877
360                       0.14752707785165478
380                       0.16184286467469589
400                       0.17657727281446847
420                       0.1917249789113064
440                       0.20728860276856556
460                       0.22327896002349554
480                       0.2397152712399569
500                       0.25662534073973753
520                       0.27404571644006054
540                       0.2920218390751163
560                       0.3106081853961283
580                       0.32986840513700155
600                       0.34987544548534094
620                       0.370711649196569
640                       0.39246880290755093
660                       0.41524810009767904
680                       0.4391599678441735
700                       0.464323687251607
720                       0.49086671336842863
740                       0.5189235707405021
760                       0.5486341649115525
780                       0.5801413081160792
800                       0.613587210114452
820                       0.6491086354111926
840                       0.6868303817532692
860                       0.7268567020958981
880                       0.7692602897816327
900                       0.81406849942744
920                       0.8612466184474329
940                       0.9106782795721236
960                       0.9621435602637587
980                       1.0152959890661652
1000                      1.0696405785850018
1020                      1.1245160707210569
1040                      1.1790856451229548
1060                      1.2323410998049438
1080                      1.2831255235567347
1100                      1.3301782548714898
1120                      1.3722031138172102
1140                      1.4079565624455275
1160                      1.4363473033099554
1180                      1.4565342428190904
1200                      1.4680074291513443
1220                      1.4706378557733737
1240                      1.4646871202951646
1260                      1.450775617914902
1280                      1.429815939188719
1300                      1.4029240425069192
1320                      1.3713230991170169
1340                      1.3362535802147941
1360                      1.298899272339248
1380                      1.2603340743145868
1400                      1.2214900583363988
1420                      1.1831441914817329
1440                      1.145919507214018
1460                      1.1102961508938294
1480                      1.0766281761241123
1500                      1.04516282392219
1520                      1.0160599625079596
1540                      0.9894102156265573
1560                      0.9652509794725836
1580                      0.9435800090092832
1600                      0.9243665670977493
1620                      0.9075603116252562
1640                      0.8930981845478742
1660                      0.8809095944810482
1680                      0.870920175576466
1700                      0.8630543770833637
1720                      0.8572371015123332
1740                      0.853394571666123
1760                      0.85145457196512
1780                      0.8513461795354493
1800                      0.8529990763456826
1820                      0.8563425155166922
1840                      0.8613040027009667
1860                      0.8678077468852565
1880                      0.8757729337865603
1900                      0.8851118787802844
1920                      0.8957281244854978
1940                      0.9075145599890063
1960                      0.920351653154615
1980                      0.9341059030606454
2000                      0.9486286343757291
