% Model:              spherical_case.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 20 2026, 14:37
% Dimension:          1
% Nodes:              97
% Expressions:        1
% Description:        Global
% freq (Hz)               \sigma_spherical_test, 
80                        0.010649290572442188
100                       0.01660628634869931
120                       0.02385469071375769
140                       0.03237524300887644
160                       0.042145326013088236
180                       0.053139038234239475
200                       0.0653272770212255
220                       0.07867783237105545
240                       0.09315549128537773
260                       0.1087221525073409
280                       0.12533695143770568
300                       0.14295639498477722
320                       0.16153450604119612
340                       0.18102297719718757
360                       0.20137133319017247
380                       0.22252710145256996
400                       0.2444359899535725
420                       0.2670420713421123
440                       0.2902879721986485
460                       0.31411506601138883
480                       0.3384636683346988
500                       0.3632732324964211
520                       0.3884825442322649
540                       0.4140299137717812
560                       0.4398533642014647
580                       0.46589081538549204
600                       0.49208026330084786
620                       0.5183599552752703
640                       0.5446685622077401
660                       0.5709453492884204
680                       0.5971303469130761
700                       0.6231645233305549
720                       0.648989960054196
740                       0.6745500302574495
760                       0.6997895793733329
780                       0.7246551060803498
800                       0.749094940949648
820                       0.7730594193892978
840                       0.7965010452458083
860                       0.8193746415396579
880                       0.8416374852947001
900                       0.8632494241970193
920                       0.8841729737881828
940                       0.9043733949535705
960                       0.9238187525048508
980                       0.9424799565865145
1000                      0.9603307893830964
1020                      0.9773479201046983
1040                      0.9935109114374449
1060                      1.0088022205347438
1080                      1.0232071971904493
1100                      1.0367140811021571
1120                      1.0493139991696872
1140                      1.0610009626569499
1160                      1.0717718629819806
1180                      1.0816264637916333
1200                      1.0905673864699021
1220                      1.0986000856538822
1240                      1.1057328115829448
1260                      1.111976556563824
1280                      1.1173449837472538
1300                      1.121854337585939
1320                      1.1255233366491741
1340                      1.128373050669633
1360                      1.1304267647932895
1380                      1.131709834665882
1400                      1.1322495363085692
1420                      1.1320749145705202
1440                      1.131216633406081
1460                      1.1297068303006277
1480                      1.1275789760575536
1500                      1.124867739972972
1520                      1.1216088591110498
1540                      1.117839009715532
1560                      1.1135956777973264
1580                      1.1089170259048806
1600                      1.1038417532521205
1620                      1.0984089470005287
1640                      1.0926579236293568
1660                      1.0866280607209085
1680                      1.0803586209528637
1700                      1.0738885717221183
1720                      1.0672564049501547
1740                      1.0604999625117777
1760                      1.0536562730636967
1780                      1.0467614056166659
1800                      1.0398503442509492
1820                      1.0329568868711594
1840                      1.0261135689158174
1860                      1.019351610812669
1880                      1.012700885831248
1900                      1.0061899030942425
1920                      0.9998457990752274
1940                      0.9936943300963489
1960                      0.9877598582690369
1980                      0.9820653240316831
2000                      0.9766321999186461
